[ 01:14:14.997 -->  01:14:17.984] MZ SPEAKER_04
[ 01:14:18.169 -->  01:14:24.210] NA SPEAKER_04
[ 01:14:24.548 -->  01:14:41.423] NB SPEAKER_04
[ 01:14:41.693 -->  01:14:53.978] NC SPEAKER_04
[ 01:14:54.315 -->  01:14:54.450] ND SPEAKER_04
[ 01:14:54.450 -->  01:14:58.298] NE SPEAKER_03
[ 01:14:58.585 -->  01:15:04.744] NF SPEAKER_03
[ 01:15:05.284 -->  01:15:08.085] NG SPEAKER_03
[ 01:15:08.541 -->  01:15:30.360] NH SPEAKER_03
[ 01:15:30.630 -->  01:15:33.533] NI SPEAKER_03
[ 01:15:34.005 -->  01:15:50.070] NJ SPEAKER_03
[ 01:15:50.509 -->  01:16:33.726] NK SPEAKER_03
[ 01:16:34.047 -->  01:16:39.902] NL SPEAKER_03
[ 01:18:21.625 -->  01:18:30.619] NU SPEAKER_03
[ 01:18:30.805 -->  01:18:39.259] NV SPEAKER_03
[ 01:18:39.681 -->  01:18:44.625] NW SPEAKER_03
[ 01:18:44.929 -->  01:19:10.259] NX SPEAKER_03
[ 01:19:10.714 -->  01:19:17.160] NY SPEAKER_03
[ 01:19:17.684 -->  01:19:23.033] NZ SPEAKER_03
[ 01:19:23.387 -->  01:19:27.809] OA SPEAKER_03
[ 01:19:28.399 -->  01:19:33.074] OB SPEAKER_03
[ 01:19:33.327 -->  01:19:53.357] OC SPEAKER_03
[ 01:19:53.509 -->  01:19:58.572] OD SPEAKER_03
[ 01:19:58.808 -->  01:20:01.609] OE SPEAKER_03
[ 01:20:02.250 -->  01:20:11.650] OF SPEAKER_03
[ 01:20:12.156 -->  01:20:58.799] OG SPEAKER_03
[ 01:20:59.204 -->  01:21:09.312] OH SPEAKER_04
[ 01:21:09.362 -->  01:21:10.257] OI SPEAKER_04
[ 01:21:10.476 -->  01:21:27.790] OJ SPEAKER_04
[ 01:21:28.583 -->  01:22:00.426] OK SPEAKER_04
[ 01:22:00.797 -->  01:22:42.664] OL SPEAKER_04
[ 01:22:43.154 -->  01:22:43.761] OM SPEAKER_04
[ 01:22:44.082 -->  01:22:52.097] ON SPEAKER_04
[ 01:22:52.452 -->  01:22:54.662] OO SPEAKER_04
[ 01:22:55.000 -->  01:22:57.615] OP SPEAKER_04
[ 01:22:58.155 -->  01:23:07.538] OQ SPEAKER_04
[ 01:23:07.875 -->  01:23:22.506] OR SPEAKER_04
[ 01:23:40.326 -->  01:23:45.844] OT SPEAKER_04
[ 01:23:46.300 -->  01:24:57.192] OU SPEAKER_04
[ 01:24:57.495 -->  01:25:19.163] OV SPEAKER_04
[ 01:25:19.703 -->  01:25:33.659] OW SPEAKER_04
[ 01:26:17.972 -->  01:26:23.541] PC SPEAKER_03
[ 01:26:23.710 -->  01:26:29.700] PD SPEAKER_03
[ 01:26:30.072 -->  01:26:40.686] PE SPEAKER_03
[ 01:26:41.209 -->  01:26:43.994] PF SPEAKER_03
[ 01:26:44.314 -->  01:26:49.495] PG SPEAKER_03
[ 01:26:49.664 -->  01:26:57.021] PH SPEAKER_03
[ 01:26:57.629 -->  01:27:02.927] PI SPEAKER_03
[ 01:27:03.282 -->  01:27:04.024] PJ SPEAKER_03
[ 01:27:04.227 -->  01:27:05.509] PK SPEAKER_03
[ 01:27:05.796 -->  01:27:12.749] PL SPEAKER_03
[ 01:27:13.154 -->  01:27:14.655] PM SPEAKER_03
[ 01:27:15.145 -->  01:27:19.195] PN SPEAKER_03
[ 01:27:19.431 -->  01:27:31.935] PO SPEAKER_03
[ 01:27:32.324 -->  01:27:37.116] PP SPEAKER_03
[ 01:27:37.217 -->  01:27:44.474] PQ SPEAKER_03
[ 01:27:44.845 -->  01:27:47.022] PR SPEAKER_03
[ 01:27:47.157 -->  01:28:04.724] PS SPEAKER_03
[ 01:28:05.247 -->  01:28:15.473] PT SPEAKER_04
[ 01:28:15.490 -->  01:28:24.720] PU SPEAKER_04
[ 01:28:25.109 -->  01:28:47.873] PV SPEAKER_04
[ 01:28:48.177 -->  01:28:49.054] PX SPEAKER_04
[ 01:28:49.274 -->  01:28:52.682] PY SPEAKER_04
[ 01:28:53.256 -->  01:28:57.897] PZ SPEAKER_04
[ 01:28:58.116 -->  01:29:12.510] QA SPEAKER_04
[ 01:29:13.017 -->  01:29:23.884] QB SPEAKER_04
[ 01:29:24.239 -->  01:29:39.696] QC SPEAKER_04
[ 01:29:40.388 -->  01:30:06.240] QD SPEAKER_04
[ 01:30:06.713 -->  01:30:08.755] QE SPEAKER_04
[ 01:30:54.975 -->  01:30:56.646] QL SPEAKER_03
[ 01:30:56.865 -->  01:31:11.580] QM SPEAKER_03
[ 01:31:12.357 -->  01:31:42.158] QN SPEAKER_03
[ 01:31:45.179 -->  01:31:50.899] QP SPEAKER_04
[ 01:31:52.587 -->  01:31:56.181] QQ SPEAKER_04
[ 01:31:56.485 -->  01:32:02.695] QR SPEAKER_04
[ 01:32:03.100 -->  01:32:05.260] QS SPEAKER_04
[ 01:32:05.513 -->  01:32:10.660] QT SPEAKER_04
[ 01:32:10.896 -->  01:32:15.942] QU SPEAKER_04
[ 01:32:16.482 -->  01:32:22.894] QV SPEAKER_04
[ 01:32:23.080 -->  01:32:50.991] QW SPEAKER_04
[ 01:32:51.160 -->  01:33:02.129] QX SPEAKER_04
[ 01:33:02.415 -->  01:33:10.499] QY SPEAKER_04
[ 01:33:10.988 -->  01:33:17.755] QZ SPEAKER_04
[ 01:33:16.067 -->  01:33:16.287] RA SPEAKER_03
[ 01:33:17.805 -->  01:33:23.037] RB SPEAKER_03
[ 01:33:23.610 -->  01:33:24.184] RD SPEAKER_03
[ 01:33:24.269 -->  01:33:24.285] RF SPEAKER_03
[ 01:33:24.302 -->  01:33:24.370] RH SPEAKER_03
[ 01:33:24.960 -->  01:33:26.429] RI SPEAKER_03
[ 01:33:27.053 -->  01:33:35.372] RJ SPEAKER_03
[ 01:33:35.946 -->  01:33:47.691] RK SPEAKER_03
[ 01:33:57.124 -->  01:33:58.238] RM SPEAKER_04
[ 01:34:09.409 -->  01:34:14.354] RS SPEAKER_03
