[ 00:19:39.492 -->  00:19:42.799] GT SPEAKER_01
[ 00:19:43.339 -->  00:19:44.301] GU SPEAKER_01
[ 00:19:44.824 -->  00:19:47.119] GV SPEAKER_01
[ 00:19:47.220 -->  00:19:48.570] GW SPEAKER_01
[ 00:19:48.925 -->  00:19:51.034] GX SPEAKER_01
[ 00:19:51.726 -->  00:19:53.363] GY SPEAKER_01
[ 00:19:53.768 -->  00:19:55.034] GZ SPEAKER_01
[ 00:19:55.472 -->  00:19:57.514] HA SPEAKER_02
[ 00:19:57.970 -->  00:20:03.134] HB SPEAKER_02
[ 00:20:03.674 -->  00:20:10.845] HC SPEAKER_02
[ 00:20:11.622 -->  00:20:15.385] HD SPEAKER_02
[ 00:20:16.144 -->  00:20:21.139] HE SPEAKER_02
[ 00:20:21.224 -->  00:20:23.367] HF SPEAKER_01
[ 00:20:23.856 -->  00:20:25.679] HG SPEAKER_01
[ 00:20:26.505 -->  00:20:32.445] HH SPEAKER_01
[ 00:20:33.070 -->  00:20:35.112] HI SPEAKER_01
[ 00:20:35.348 -->  00:20:42.115] HJ SPEAKER_01
[ 00:20:42.807 -->  00:20:43.330] HK SPEAKER_01
[ 00:20:43.617 -->  00:20:45.524] HL SPEAKER_01
[ 00:20:45.945 -->  00:20:48.713] HM SPEAKER_01
[ 00:20:49.084 -->  00:20:50.046] HN SPEAKER_01
[ 00:20:50.384 -->  00:20:52.729] HO SPEAKER_01
[ 00:20:53.219 -->  00:20:58.045] HP SPEAKER_01
[ 00:20:58.619 -->  00:21:00.188] HQ SPEAKER_01
[ 00:21:00.441 -->  00:21:10.684] HR SPEAKER_01
[ 00:21:11.106 -->  00:21:20.708] HS SPEAKER_01
[ 00:21:21.400 -->  00:21:24.370] HT SPEAKER_01
[ 00:21:24.859 -->  00:21:27.289] HU SPEAKER_01
[ 00:21:27.947 -->  00:21:28.825] HV SPEAKER_01
[ 00:21:29.601 -->  00:21:32.369] HW SPEAKER_01
[ 00:21:32.959 -->  00:21:35.845] HX SPEAKER_01
[ 00:21:36.149 -->  00:21:45.632] HY SPEAKER_01
[ 00:21:46.004 -->  00:21:50.847] HZ SPEAKER_01
[ 00:21:51.336 -->  00:21:53.057] IA SPEAKER_01
[ 00:21:53.209 -->  00:21:54.880] IB SPEAKER_01
[ 00:21:55.673 -->  00:21:57.495] IC SPEAKER_01
[ 00:21:58.103 -->  00:21:59.757] ID SPEAKER_01
[ 00:22:00.246 -->  00:22:03.081] IE SPEAKER_01
[ 00:22:03.452 -->  00:22:05.444] IF SPEAKER_01
