[ 00:17:46.649 -->  00:17:52.352] EJ SPEAKER_02
[ 00:17:52.825 -->  00:18:03.777] EK SPEAKER_02
[ 00:18:04.013 -->  00:18:07.219] EL SPEAKER_02
[ 00:18:07.557 -->  00:18:12.079] EM SPEAKER_02
[ 00:18:12.332 -->  00:18:14.560] EN SPEAKER_02
[ 00:18:14.813 -->  00:18:31.452] EO SPEAKER_02
[ 00:18:32.127 -->  00:18:32.700] EP SPEAKER_02
[ 00:18:33.021 -->  00:18:33.865] EQ SPEAKER_02
[ 00:18:34.236 -->  00:18:39.214] ER SPEAKER_02
[ 00:18:39.552 -->  00:18:42.977] ES SPEAKER_02
[ 00:18:43.602 -->  00:18:47.736] ET SPEAKER_02
[ 00:18:48.225 -->  00:18:52.799] EU SPEAKER_02
[ 00:18:53.406 -->  00:18:55.853] EV SPEAKER_02
[ 00:18:56.410 -->  00:18:57.810] EW SPEAKER_02
[ 00:18:57.827 -->  00:18:58.907] EX SPEAKER_02
[ 00:18:59.447 -->  00:19:01.152] EY SPEAKER_02
[ 00:19:01.523 -->  00:19:04.814] EZ SPEAKER_02
[ 00:19:04.965 -->  00:19:05.100] FA SPEAKER_02
[ 00:19:05.168 -->  00:19:09.876] FB SPEAKER_02
[ 00:19:10.281 -->  00:19:11.715] FC SPEAKER_02
[ 00:19:12.019 -->  00:19:15.057] FD SPEAKER_02
[ 00:19:15.462 -->  00:19:17.976] FE SPEAKER_02
[ 00:19:18.364 -->  00:19:20.440] FF SPEAKER_02
[ 00:19:20.760 -->  00:19:34.210] FG SPEAKER_02
[ 00:19:34.649 -->  00:19:35.121] FH SPEAKER_02
[ 00:19:35.678 -->  00:19:40.977] FI SPEAKER_02
[ 00:19:41.264 -->  00:19:44.892] FJ SPEAKER_02
[ 00:19:45.381 -->  00:20:10.491] FK SPEAKER_01
[ 00:20:11.267 -->  00:20:26.472] FL SPEAKER_01
[ 00:20:26.742 -->  00:20:30.218] FM SPEAKER_02
[ 00:20:30.572 -->  00:20:32.445] FN SPEAKER_02
[ 00:20:32.952 -->  00:20:35.584] FO SPEAKER_02
[ 00:20:36.040 -->  00:20:41.592] FP SPEAKER_02
[ 00:20:41.879 -->  00:20:45.220] FQ SPEAKER_02
[ 00:20:45.709 -->  00:20:47.768] FR SPEAKER_02
[ 00:20:48.426 -->  00:20:53.235] FS SPEAKER_02
[ 00:20:53.573 -->  00:20:54.636] FT SPEAKER_02
[ 00:20:54.788 -->  00:21:00.323] FU SPEAKER_02
[ 00:21:00.930 -->  00:21:04.744] FV SPEAKER_02
