[ 00:25:05.567 -->  00:25:08.318] GA SPEAKER_01
[ 00:25:08.774 -->  00:25:10.005] GB SPEAKER_01
[ 00:25:10.140 -->  00:25:11.153] GC SPEAKER_01
[ 00:25:11.980 -->  00:25:13.701] GD SPEAKER_01
[ 00:25:14.663 -->  00:25:19.962] GE SPEAKER_01
[ 00:25:20.485 -->  00:25:22.425] GF SPEAKER_01
[ 00:25:22.915 -->  00:25:34.373] GG SPEAKER_01
[ 00:25:34.660 -->  00:25:37.073] GH SPEAKER_01
[ 00:25:37.512 -->  00:25:41.275] GI SPEAKER_01
[ 00:25:41.528 -->  00:25:42.102] GJ SPEAKER_01
[ 00:25:42.726 -->  00:25:46.270] GK SPEAKER_01
[ 00:25:47.046 -->  00:25:49.189] GL SPEAKER_01
[ 00:25:49.459 -->  00:25:53.594] GM SPEAKER_01
[ 00:25:54.032 -->  00:25:57.239] GN SPEAKER_01
[ 00:25:57.576 -->  00:25:59.550] GO SPEAKER_01
[ 00:25:59.787 -->  00:26:01.086] GP SPEAKER_01
[ 00:26:01.643 -->  00:26:03.465] GQ SPEAKER_01
[ 00:26:04.377 -->  00:26:08.072] GR SPEAKER_01
[ 00:26:08.764 -->  00:26:11.430] GS SPEAKER_01
[ 00:26:11.751 -->  00:26:21.032] GT SPEAKER_01
[ 00:26:21.707 -->  00:26:24.374] GU SPEAKER_01
[ 00:26:24.795 -->  00:26:25.133] GV SPEAKER_01
[ 00:26:25.487 -->  00:26:28.677] GW SPEAKER_01
[ 00:26:29.318 -->  00:26:37.755] GX SPEAKER_01
[ 00:26:37.806 -->  00:26:45.535] GY SPEAKER_01
[ 00:26:45.957 -->  00:26:49.905] GZ SPEAKER_01
[ 00:26:50.580 -->  00:27:17.429] HA SPEAKER_01
[ 00:27:17.918 -->  00:27:23.419] HB SPEAKER_01
[ 00:27:23.976 -->  00:27:24.027] HC SPEAKER_01
[ 00:27:24.449 -->  00:27:30.895] HD SPEAKER_01
[ 00:27:31.367 -->  00:27:35.704] HE SPEAKER_01
[ 00:27:36.143 -->  00:27:47.770] HF SPEAKER_02
[ 00:27:48.293 -->  00:28:02.485] HG SPEAKER_02
[ 00:28:02.873 -->  00:28:05.809] HH SPEAKER_02
[ 00:28:06.265 -->  00:28:16.035] HI SPEAKER_02
[ 00:28:16.137 -->  00:28:30.379] HJ SPEAKER_01
[ 00:28:30.784 -->  00:28:34.665] HK SPEAKER_01
[ 00:28:34.952 -->  00:28:38.074] HL SPEAKER_01
[ 00:28:38.412 -->  00:28:45.263] HM SPEAKER_01
[ 00:28:45.735 -->  00:29:05.007] HN SPEAKER_01
[ 00:29:05.412 -->  00:29:09.040] HO SPEAKER_01
[ 00:29:09.225 -->  00:29:14.372] HP SPEAKER_01
[ 00:29:15.047 -->  00:29:21.392] HQ SPEAKER_01
[ 00:29:22.050 -->  00:29:26.640] HR SPEAKER_01
[ 00:29:26.860 -->  00:29:27.450] HS SPEAKER_01
[ 00:29:28.260 -->  00:29:28.750] HT SPEAKER_01
[ 00:29:29.459 -->  00:29:32.749] HU SPEAKER_01
[ 00:29:33.559 -->  00:29:36.360] HW SPEAKER_01
[ 00:29:36.884 -->  00:29:41.406] HX SPEAKER_01
[ 00:29:41.862 -->  00:29:43.026] HY SPEAKER_01
[ 00:29:43.195 -->  00:29:45.203] HZ SPEAKER_01
