[ 00:12:43.320 -->  00:12:43.641] HW SPEAKER_02
[ 00:12:44.164 -->  00:12:45.902] HX SPEAKER_02
[ 00:12:46.172 -->  00:12:48.535] HY SPEAKER_02
[ 00:12:48.872 -->  00:12:49.851] HZ SPEAKER_02
[ 00:12:50.391 -->  00:12:51.944] IA SPEAKER_02
[ 00:12:52.298 -->  00:12:53.175] IB SPEAKER_02
[ 00:12:53.547 -->  00:12:56.466] IC SPEAKER_02
[ 00:12:56.955 -->  00:12:57.732] ID SPEAKER_02
[ 00:12:57.917 -->  00:13:01.748] IE SPEAKER_02
[ 00:13:02.001 -->  00:13:04.077] IF SPEAKER_02
[ 00:13:04.499 -->  00:13:05.950] IG SPEAKER_02
[ 00:13:06.456 -->  00:13:09.679] IH SPEAKER_02
[ 00:13:09.966 -->  00:13:11.316] II SPEAKER_02
[ 00:13:11.805 -->  00:13:12.683] IJ SPEAKER_02
[ 00:13:13.004 -->  00:13:14.168] IK SPEAKER_02
[ 00:13:14.775 -->  00:13:16.362] IL SPEAKER_02
[ 00:13:17.324 -->  00:13:20.024] IM SPEAKER_02
[ 00:13:20.699 -->  00:13:21.762] IN SPEAKER_02
[ 00:13:22.116 -->  00:13:23.415] IO SPEAKER_02
[ 00:13:24.006 -->  00:13:26.588] IP SPEAKER_02
[ 00:13:27.010 -->  00:13:29.153] IQ SPEAKER_02
[ 00:13:29.423 -->  00:13:31.094] IR SPEAKER_02
[ 00:13:31.195 -->  00:13:31.819] IS SPEAKER_02
[ 00:13:32.224 -->  00:13:34.148] IT SPEAKER_02
[ 00:13:34.823 -->  00:13:38.957] IU SPEAKER_02
[ 00:13:39.784 -->  00:13:42.147] IV SPEAKER_02
[ 00:13:42.349 -->  00:13:43.024] IW SPEAKER_02
[ 00:13:43.514 -->  00:13:48.171] IX SPEAKER_02
[ 00:13:49.015 -->  00:13:49.504] IY SPEAKER_02
[ 00:13:49.639 -->  00:13:50.534] IZ SPEAKER_02
[ 00:13:50.871 -->  00:13:54.010] JA SPEAKER_02
[ 00:13:54.651 -->  00:14:01.350] JB SPEAKER_02
[ 00:14:01.350 -->  00:14:06.025] JC SPEAKER_01
[ 00:14:06.362 -->  00:14:08.387] JD SPEAKER_01
[ 00:14:09.299 -->  00:14:14.699] JE SPEAKER_01
[ 00:14:15.795 -->  00:14:17.939] JG SPEAKER_01
[ 00:14:18.647 -->  00:14:25.077] JH SPEAKER_01
