[ 00:29:49.506 -->  00:29:50.687] ER SPEAKER_02
[ 00:29:50.789 -->  00:29:53.100] ES SPEAKER_02
[ 00:29:53.337 -->  00:29:55.176] ET SPEAKER_02
[ 00:29:55.446 -->  00:30:07.377] EU SPEAKER_02
[ 00:30:07.613 -->  00:30:14.009] EV SPEAKER_02
[ 00:30:14.312 -->  00:30:14.700] EW SPEAKER_02
[ 00:30:15.055 -->  00:30:16.439] EX SPEAKER_02
[ 00:30:16.844 -->  00:30:20.607] EY SPEAKER_02
[ 00:30:20.927 -->  00:30:38.444] EZ SPEAKER_02
[ 00:30:38.730 -->  00:30:43.557] FA SPEAKER_02
[ 00:30:43.607 -->  00:30:44.586] FB SPEAKER_02
[ 00:30:44.924 -->  00:30:45.615] FC SPEAKER_02
[ 00:30:45.970 -->  00:30:49.395] FD SPEAKER_02
[ 00:30:49.514 -->  00:30:50.745] FE SPEAKER_02
[ 00:30:51.184 -->  00:30:55.470] FF SPEAKER_02
[ 00:30:55.875 -->  00:31:10.725] FG SPEAKER_02
[ 00:31:11.097 -->  00:31:19.399] FH SPEAKER_02
[ 00:31:19.787 -->  00:31:21.728] FI SPEAKER_02
[ 00:31:22.116 -->  00:31:27.634] FJ SPEAKER_02
[ 00:31:27.668 -->  00:31:29.912] FK SPEAKER_02
[ 00:31:30.368 -->  00:31:32.072] FL SPEAKER_02
[ 00:31:32.309 -->  00:31:33.169] FM SPEAKER_02
[ 00:31:33.591 -->  00:31:35.363] FN SPEAKER_02
[ 00:31:35.532 -->  00:31:37.540] FO SPEAKER_02
[ 00:31:37.928 -->  00:31:38.519] FP SPEAKER_02
[ 00:31:38.839 -->  00:31:39.919] FQ SPEAKER_02
[ 00:31:40.274 -->  00:31:43.024] FR SPEAKER_02
[ 00:31:43.142 -->  00:31:46.602] FS SPEAKER_02
[ 00:31:46.889 -->  00:31:48.036] FT SPEAKER_02
[ 00:31:48.171 -->  00:31:58.701] FU SPEAKER_02
[ 00:31:59.022 -->  00:32:00.135] FV SPEAKER_02
[ 00:32:00.507 -->  00:32:02.144] FW SPEAKER_02
[ 00:32:02.565 -->  00:32:08.573] FX SPEAKER_02
[ 00:32:08.742 -->  00:32:10.260] FY SPEAKER_02
[ 00:32:10.497 -->  00:32:13.467] FZ SPEAKER_02
[ 00:32:13.686 -->  00:32:14.074] GA SPEAKER_02
[ 00:32:14.513 -->  00:32:16.285] GB SPEAKER_02
[ 00:32:16.555 -->  00:32:18.782] GC SPEAKER_02
[ 00:32:19.137 -->  00:32:20.925] GD SPEAKER_02
[ 00:32:21.246 -->  00:32:30.004] GE SPEAKER_02
[ 00:32:30.072 -->  00:33:33.100] GF SPEAKER_01
[ 00:33:33.505 -->  00:33:47.174] GG SPEAKER_02
[ 00:33:47.460 -->  00:33:48.608] GH SPEAKER_02
[ 00:33:49.080 -->  00:33:51.291] GI SPEAKER_02
[ 00:33:51.629 -->  00:33:58.682] GJ SPEAKER_02
[ 00:33:59.020 -->  00:34:05.382] GK SPEAKER_02
[ 00:34:05.702 -->  00:34:13.819] GL SPEAKER_02
[ 00:34:14.207 -->  00:34:15.810] GM SPEAKER_02
[ 00:34:16.215 -->  00:34:18.848] GN SPEAKER_02
[ 00:34:19.169 -->  00:34:21.548] GO SPEAKER_02
[ 00:34:21.683 -->  00:34:28.939] GP SPEAKER_02
[ 00:34:29.175 -->  00:34:32.888] GQ SPEAKER_02
[ 00:34:33.057 -->  00:34:53.948] GR SPEAKER_02
[ 00:34:54.353 -->  00:35:27.360] GS SPEAKER_02
[ 00:35:27.445 -->  00:35:30.600] GT SPEAKER_02
[ 00:35:31.022 -->  00:36:15.505] GU SPEAKER_02
[ 00:36:15.809 -->  00:36:27.250] GV SPEAKER_02
[ 00:36:26.895 -->  00:37:37.500] GW SPEAKER_01
[ 00:37:37.754 -->  00:37:41.112] GX SPEAKER_01
[ 00:37:41.230 -->  00:37:56.502] GY SPEAKER_02
[ 00:37:56.670 -->  00:38:24.075] GZ SPEAKER_02
[ 00:38:24.548 -->  00:38:26.151] HA SPEAKER_02
[ 00:38:26.556 -->  00:38:27.282] HB SPEAKER_02
[ 00:38:27.535 -->  00:38:30.724] HC SPEAKER_02
[ 00:38:31.163 -->  00:38:32.817] HD SPEAKER_02
[ 00:38:33.188 -->  00:38:35.601] HE SPEAKER_02
[ 00:38:36.090 -->  00:38:38.824] HF SPEAKER_02
[ 00:38:39.094 -->  00:38:41.102] HG SPEAKER_02
[ 00:38:41.170 -->  00:38:44.882] HH SPEAKER_02
[ 00:38:44.984 -->  00:38:45.000] HI SPEAKER_02
[ 00:38:45.135 -->  00:38:49.152] HJ SPEAKER_02
[ 00:38:49.590 -->  00:38:51.227] HK SPEAKER_02
[ 00:38:51.632 -->  00:38:53.640] HL SPEAKER_02
[ 00:38:53.910 -->  00:38:55.699] HM SPEAKER_02
[ 00:38:56.054 -->  00:38:58.433] HN SPEAKER_02
[ 00:38:58.619 -->  00:39:00.104] HO SPEAKER_02
[ 00:39:00.441 -->  00:39:01.791] HP SPEAKER_02
[ 00:39:02.179 -->  00:39:04.862] HQ SPEAKER_02
[ 00:39:05.217 -->  00:39:32.672] HR SPEAKER_02
[ 00:39:32.858 -->  00:39:35.457] HS SPEAKER_02
[ 00:39:35.760 -->  00:39:49.480] HT SPEAKER_02
[ 00:39:49.800 -->  00:39:55.943] HU SPEAKER_02
[ 00:39:56.196 -->  00:40:00.972] HV SPEAKER_02
[ 00:40:01.073 -->  00:40:01.900] HW SPEAKER_02
[ 00:40:02.271 -->  00:40:04.431] HX SPEAKER_02
[ 00:40:04.802 -->  00:40:05.207] HY SPEAKER_02
[ 00:40:05.579 -->  00:40:06.844] HZ SPEAKER_02
[ 00:40:07.097 -->  00:40:10.725] IA SPEAKER_02
[ 00:40:11.147 -->  00:40:38.299] IB SPEAKER_02
[ 00:40:38.485 -->  00:40:42.704] IC SPEAKER_02
[ 00:40:43.041 -->  00:41:47.622] ID SPEAKER_01
[ 00:41:48.010 -->  00:42:24.139] IE SPEAKER_02
[ 00:42:24.274 -->  00:42:29.640] IF SPEAKER_02
[ 00:42:29.725 -->  00:42:43.934] IG SPEAKER_02
[ 00:42:44.153 -->  00:43:01.079] IH SPEAKER_02
[ 00:43:01.365 -->  00:43:03.306] II SPEAKER_02
[ 00:43:03.559 -->  00:43:25.311] IJ SPEAKER_02
[ 00:43:25.733 -->  00:43:26.847] IK SPEAKER_02
[ 00:43:27.100 -->  00:43:53.796] IL SPEAKER_02
[ 00:43:53.999 -->  00:44:04.495] IM SPEAKER_02
[ 00:44:04.815 -->  00:44:13.506] IN SPEAKER_02
[ 00:44:13.810 -->  00:44:22.433] IO SPEAKER_02
[ 00:44:22.602 -->  00:44:27.344] IP SPEAKER_02
[ 00:44:27.664 -->  00:44:30.820] IQ SPEAKER_02
[ 00:44:30.989 -->  00:44:37.536] IR SPEAKER_01
[ 00:44:37.722 -->  00:45:12.805] IS SPEAKER_01
[ 00:45:13.142 -->  00:45:26.777] IT SPEAKER_02
[ 00:45:26.980 -->  00:45:34.084] IU SPEAKER_02
[ 00:45:34.540 -->  00:45:36.734] IV SPEAKER_02
[ 00:45:36.852 -->  00:45:38.033] IW SPEAKER_02
[ 00:45:38.168 -->  00:46:12.829] IX SPEAKER_02
[ 00:46:13.116 -->  00:46:35.982] IY SPEAKER_02
[ 00:46:36.404 -->  00:46:38.007] IZ SPEAKER_02
[ 00:46:38.294 -->  00:46:53.734] JA SPEAKER_02
[ 00:46:53.970 -->  00:46:56.181] JB SPEAKER_02
[ 00:46:56.502 -->  00:47:00.771] JC SPEAKER_02
[ 00:47:01.193 -->  00:47:02.138] JD SPEAKER_02
[ 00:47:02.442 -->  00:47:03.977] JE SPEAKER_02
[ 00:47:04.315 -->  00:47:13.292] JF SPEAKER_02
[ 00:47:13.360 -->  00:47:36.209] JG SPEAKER_02
[ 00:47:36.681 -->  00:48:23.020] JH SPEAKER_01
[ 00:48:23.442 -->  00:48:25.079] JI SPEAKER_02
[ 00:48:25.399 -->  00:48:29.247] JJ SPEAKER_02
[ 00:48:29.601 -->  00:48:58.997] JK SPEAKER_02
[ 00:48:59.419 -->  00:49:12.497] JL SPEAKER_02
[ 00:49:12.869 -->  00:49:16.514] JM SPEAKER_02
