[ 00:26:45.636 -->  00:26:46.598] EM SPEAKER_01
[ 00:26:47.475 -->  00:26:51.846] EN SPEAKER_01
[ 00:26:52.251 -->  00:26:55.289] EO SPEAKER_01
[ 00:26:55.710 -->  00:27:04.671] EP SPEAKER_01
[ 00:27:05.312 -->  00:27:09.042] EQ SPEAKER_01
[ 00:27:09.143 -->  00:27:18.492] ER SPEAKER_01
[ 00:27:18.998 -->  00:27:28.330] ES SPEAKER_01
[ 00:27:28.583 -->  00:27:29.292] ET SPEAKER_01
[ 00:27:30.051 -->  00:27:33.038] EU SPEAKER_01
[ 00:27:33.224 -->  00:27:35.873] EV SPEAKER_01
[ 00:27:36.396 -->  00:27:45.559] EW SPEAKER_01
[ 00:27:45.964 -->  00:27:48.445] EX SPEAKER_01
[ 00:27:48.479 -->  00:27:52.225] EY SPEAKER_01
[ 00:27:52.275 -->  00:27:59.835] EZ SPEAKER_01
[ 00:28:00.375 -->  00:28:07.800] FA SPEAKER_01
[ 00:28:08.459 -->  00:28:21.233] FB SPEAKER_02
[ 00:28:21.638 -->  00:28:31.746] FC SPEAKER_02
[ 00:28:32.370 -->  00:28:37.112] FD SPEAKER_02
[ 00:28:37.838 -->  00:28:43.052] FE SPEAKER_02
[ 00:28:43.238 -->  00:28:45.415] FF SPEAKER_02
[ 00:28:45.634 -->  00:28:47.085] FG SPEAKER_02
[ 00:28:47.372 -->  00:29:06.070] FH SPEAKER_02
[ 00:29:06.509 -->  00:29:11.250] FI SPEAKER_02
[ 00:29:11.824 -->  00:29:31.602] FJ SPEAKER_01
[ 00:29:32.429 -->  00:29:36.698] FK SPEAKER_01
[ 00:29:37.457 -->  00:29:40.073] FL SPEAKER_01
[ 00:29:40.275 -->  00:29:51.430] FM SPEAKER_01
[ 00:29:51.700 -->  00:30:10.414] FN SPEAKER_01
[ 00:30:10.718 -->  00:30:15.865] FO SPEAKER_01
[ 00:30:15.949 -->  00:30:28.470] FP SPEAKER_01
[ 00:30:28.859 -->  00:30:30.023] FQ SPEAKER_01
[ 00:30:30.563 -->  00:30:34.647] FR SPEAKER_01
[ 00:30:34.900 -->  00:30:41.903] FS SPEAKER_01
